vehicle_id,Time [s],x[m],y[m],Speed [km/h],flw_type,f_error
10,0.0,511942.93,5026488.49,18.7365,Car,10.32009304979753
10,0.033367,511942.8,5026488.37,18.6872,Car,10.32009304979753
10,0.066733,511942.67,5026488.25,18.6374,Car,10.32009304979753
10,0.1001,511942.53,5026488.13,18.5898,Car,10.32009304979753
10,0.133467,511942.4,5026488.01,18.5508,Car,10.32009304979753
10,0.166834,511942.27,5026487.9,18.5253,Car,10.32009304979753
10,0.2002,511942.14,5026487.78,18.5156,Car,10.32009304979753
10,0.233567,511942.01,5026487.66,18.5205,Car,10.32009304979753
10,0.266934,511941.88,5026487.55,18.5375,Car,10.32009304979753
10,0.300301,511941.76,5026487.43,18.5645,Car,10.32009304979753
10,0.333667,511941.63,5026487.32,18.601,Car,10.32009304979753
10,0.367034,511941.5,5026487.21,18.6482,Car,10.32009304979753
10,0.400401,511941.37,5026487.09,18.7051,Car,10.32009304979753
10,0.433768,511941.24,5026486.98,18.7658,Car,10.32009304979753
10,0.467134,511941.11,5026486.87,18.8228,Car,10.32009304979753
10,0.500501,511940.98,5026486.76,18.8161,Car,10.32009304979753
10,0.533868,511940.85,5026486.65,18.8111,Car,10.32009304979753
10,0.567234,511940.72,5026486.54,18.8036,Car,10.32009304979753
10,0.600601,511940.59,5026486.43,18.7938,Car,10.32009304979753
10,0.633968,511940.46,5026486.32,18.7841,Car,10.32009304979753
10,0.667335,511940.32,5026486.22,18.7761,Car,10.32009304979753
10,0.700701,511940.19,5026486.11,18.771,Car,10.32009304979753
10,0.734068,511940.05,5026486.0,18.7691,Car,10.32009304979753
10,0.767435,511939.91,5026485.89,18.7703,Car,10.32009304979753
10,0.800802,511939.77,5026485.79,18.7747,Car,10.32009304979753
10,0.834168,511939.63,5026485.68,18.7815,Car,10.32009304979753
10,0.867535,511939.49,5026485.58,18.7896,Car,10.32009304979753
10,0.900902,511939.34,5026485.47,18.8,Car,10.32009304979753
10,0.934269,511939.2,5026485.37,18.8134,Car,10.32009304979753
10,0.967635,511939.05,5026485.26,18.8294,Car,10.32009304979753
10,1.001002,511938.9,5026485.16,18.847,Car,10.32009304979753
10,1.034369,511938.76,5026485.06,18.8649,Car,10.32009304979753
10,1.067735,511938.61,5026484.97,18.8844,Car,10.32009304979753
10,1.101102,511938.46,5026484.87,18.9068,Car,10.32009304979753
10,1.134469,511938.31,5026484.78,18.9323,Car,10.32009304979753
10,1.167836,511938.17,5026484.68,18.9608,Car,10.32009304979753
10,1.201202,511938.02,5026484.59,18.9918,Car,10.32009304979753
10,1.234569,511937.87,5026484.5,19.0245,Car,10.32009304979753
10,1.267936,511937.72,5026484.42,19.0586,Car,10.32009304979753
10,1.301303,511937.57,5026484.33,19.0931,Car,10.32009304979753
10,1.334669,511937.42,5026484.24,19.1281,Car,10.32009304979753
10,1.368036,511937.27,5026484.16,19.1635,Car,10.32009304979753
10,1.401403,511937.12,5026484.07,19.1978,Car,10.32009304979753
10,1.434769,511936.96,5026483.99,19.2304,Car,10.32009304979753
10,1.468136,511936.81,5026483.91,19.2624,Car,10.32009304979753
10,1.501503,511936.65,5026483.83,19.2951,Car,10.32009304979753
10,1.53487,511936.5,5026483.75,19.33,Car,10.32009304979753
10,1.568236,511936.34,5026483.67,19.3675,Car,10.32009304979753
10,1.601603,511936.18,5026483.59,19.4081,Car,10.32009304979753
10,1.63497,511936.02,5026483.52,19.4528,Car,10.32009304979753
10,1.668337,511935.86,5026483.44,19.502,Car,10.32009304979753
10,1.701703,511935.69,5026483.37,19.5553,Car,10.32009304979753
10,1.73507,511935.53,5026483.29,19.6132,Car,10.32009304979753
10,1.768437,511935.36,5026483.22,19.6759,Car,10.32009304979753
10,1.801804,511935.19,5026483.14,19.7431,Car,10.32009304979753
10,1.83517,511935.02,5026483.07,19.8136,Car,10.32009304979753
10,1.868537,511934.84,5026483.0,19.8863,Car,10.32009304979753
10,1.901904,511934.67,5026482.93,19.9622,Car,10.32009304979753
10,1.93527,511934.5,5026482.86,20.0423,Car,10.32009304979753
10,1.968637,511934.32,5026482.79,20.1266,Car,10.32009304979753
10,2.002004,511934.14,5026482.73,20.2144,Car,10.32009304979753
10,2.035371,511933.97,5026482.66,20.3055,Car,10.32009304979753
10,2.068737,511933.79,5026482.6,20.4003,Car,10.32009304979753
10,2.102104,511933.61,5026482.53,20.4989,Car,10.32009304979753
10,2.135471,511933.44,5026482.47,20.6002,Car,10.32009304979753
10,2.168838,511933.26,5026482.41,20.7035,Car,10.32009304979753
10,2.202204,511933.08,5026482.35,20.8079,Car,10.32009304979753
10,2.235571,511932.9,5026482.3,20.9131,Car,10.32009304979753
10,2.268938,511932.71,5026482.24,21.0188,Car,10.32009304979753
10,2.302305,511932.53,5026482.18,21.1249,Car,10.32009304979753
10,2.335671,511932.35,5026482.13,21.232,Car,10.32009304979753
10,2.369038,511932.16,5026482.08,21.3403,Car,10.32009304979753
10,2.402405,511931.97,5026482.02,21.4491,Car,10.32009304979753
10,2.435771,511931.78,5026481.97,21.5584,Car,10.32009304979753
10,2.469138,511931.59,5026481.92,21.6698,Car,10.32009304979753
10,2.502505,511931.4,5026481.87,21.7847,Car,10.32009304979753
10,2.535872,511931.2,5026481.83,21.9044,Car,10.32009304979753
10,2.569238,511931.01,5026481.78,22.0293,Car,10.32009304979753
10,2.602605,511930.81,5026481.73,22.1583,Car,10.32009304979753
10,2.635972,511930.61,5026481.69,22.2905,Car,10.32009304979753
10,2.669339,511930.4,5026481.65,22.4245,Car,10.32009304979753
10,2.702705,511930.2,5026481.61,22.5597,Car,10.32009304979753
10,2.736072,511929.99,5026481.56,22.6969,Car,10.32009304979753
10,2.769439,511929.78,5026481.53,22.837,Car,10.32009304979753
10,2.802806,511929.57,5026481.49,22.9794,Car,10.32009304979753
10,2.836172,511929.36,5026481.45,23.1236,Car,10.32009304979753
10,2.869539,511929.14,5026481.42,23.2689,Car,10.32009304979753
10,2.902906,511928.93,5026481.38,23.4161,Car,10.32009304979753
10,2.936272,511928.71,5026481.35,23.5653,Car,10.32009304979753
10,2.969639,511928.49,5026481.32,23.7162,Car,10.32009304979753
10,3.003006,511928.27,5026481.29,23.8678,Car,10.32009304979753
10,3.036373,511928.05,5026481.27,24.0195,Car,10.32009304979753
10,3.069739,511927.83,5026481.24,24.1717,Car,10.32009304979753
10,3.103106,511927.61,5026481.22,24.325,Car,10.32009304979753
10,3.136473,511927.39,5026481.2,24.4793,Car,10.32009304979753
10,3.16984,511927.16,5026481.18,24.6342,Car,10.32009304979753
10,3.203206,511926.93,5026481.16,24.789,Car,10.32009304979753
10,3.236573,511926.71,5026481.15,24.9436,Car,10.32009304979753
10,3.26994,511926.48,5026481.13,25.0989,Car,10.32009304979753
10,3.303307,511926.24,5026481.12,25.2564,Car,10.32009304979753
10,3.336673,511926.01,5026481.11,25.4174,Car,10.32009304979753
10,3.37004,511925.78,5026481.1,25.5824,Car,10.32009304979753
10,3.403407,511925.54,5026481.1,25.7504,Car,10.32009304979753
10,3.436773,511925.3,5026481.09,25.9207,Car,10.32009304979753
10,3.47014,511925.07,5026481.09,26.0928,Car,10.32009304979753
10,3.503507,511924.82,5026481.09,26.267,Car,10.32009304979753
10,3.536874,511924.58,5026481.09,26.4437,Car,10.32009304979753
10,3.57024,511924.34,5026481.1,26.6233,Car,10.32009304979753
10,3.603607,511924.09,5026481.11,26.8054,Car,10.32009304979753
10,3.636974,511923.84,5026481.11,26.9896,Car,10.32009304979753
10,3.670341,511923.59,5026481.13,27.1756,Car,10.32009304979753
10,3.703707,511923.34,5026481.14,27.3638,Car,10.32009304979753
10,3.737074,511923.09,5026481.15,27.5542,Car,10.32009304979753
10,3.770441,511922.83,5026481.17,27.746,Car,10.32009304979753
10,3.803807,511922.58,5026481.19,27.9382,Car,10.32009304979753
10,3.837174,511922.32,5026481.22,28.1301,Car,10.32009304979753
10,3.870541,511922.06,5026481.24,28.3217,Car,10.32009304979753
10,3.903908,511921.79,5026481.27,28.5134,Car,10.32009304979753
10,3.937274,511921.53,5026481.3,28.7046,Car,10.32009304979753
10,3.970641,511921.26,5026481.33,28.8945,Car,10.32009304979753
10,4.004008,511920.99,5026481.37,29.0821,Car,10.32009304979753
10,4.037375,511920.73,5026481.41,29.2673,Car,10.32009304979753
10,4.070741,511920.46,5026481.44,29.4509,Car,10.32009304979753
10,4.104108,511920.18,5026481.49,29.6331,Car,10.32009304979753
10,4.137475,511919.91,5026481.53,29.8142,Car,10.32009304979753
10,4.170842,511919.64,5026481.57,29.9937,Car,10.32009304979753
10,4.204208,511919.36,5026481.62,30.1714,Car,10.32009304979753
10,4.237575,511919.08,5026481.67,30.3475,Car,10.32009304979753
10,4.270942,511918.8,5026481.72,30.5225,Car,10.32009304979753
10,4.304308,511918.52,5026481.77,30.6965,Car,10.32009304979753
10,4.337675,511918.24,5026481.83,30.8692,Car,10.32009304979753
10,4.371042,511917.96,5026481.88,31.0401,Car,10.32009304979753
10,4.404409,511917.68,5026481.94,31.209,Car,10.32009304979753
10,4.437775,511917.39,5026482.0,31.3762,Car,10.32009304979753
10,4.471142,511917.1,5026482.06,31.5424,Car,10.32009304979753
10,4.504509,511916.82,5026482.12,31.7084,Car,10.32009304979753
10,4.537876,511916.53,5026482.19,31.8746,Car,10.32009304979753
10,4.571242,511916.24,5026482.25,32.0408,Car,10.32009304979753
10,4.604609,511915.95,5026482.32,32.2063,Car,10.32009304979753
10,4.637976,511915.66,5026482.39,32.3711,Car,10.32009304979753
10,4.671343,511915.37,5026482.46,32.5351,Car,10.32009304979753
10,4.704709,511915.08,5026482.53,32.6982,Car,10.32009304979753
10,4.738076,511914.78,5026482.61,32.8602,Car,10.32009304979753
10,4.771443,511914.49,5026482.68,33.0213,Car,10.32009304979753
10,4.804809,511914.19,5026482.76,33.182,Car,10.32009304979753
10,4.838176,511913.9,5026482.83,33.3427,Car,10.32009304979753
10,4.871543,511913.6,5026482.91,33.5034,Car,10.32009304979753
10,4.90491,511913.3,5026482.99,33.664,Car,10.32009304979753
10,4.938276,511912.99,5026483.08,33.8245,Car,10.32009304979753
10,4.971643,511912.69,5026483.16,33.9855,Car,10.32009304979753
10,5.00501,511912.39,5026483.24,34.1474,Car,10.32009304979753
10,5.038377,511912.08,5026483.33,34.3099,Car,10.32009304979753
10,5.071743,511911.77,5026483.42,34.4737,Car,10.32009304979753
10,5.10511,511911.47,5026483.51,34.6395,Car,10.32009304979753
10,5.138477,511911.16,5026483.6,34.8079,Car,10.32009304979753
10,5.171844,511910.85,5026483.69,34.9792,Car,10.32009304979753
10,5.20521,511910.54,5026483.79,35.1532,Car,10.32009304979753
10,5.238577,511910.22,5026483.88,35.3296,Car,10.32009304979753
10,5.271944,511909.91,5026483.98,35.5077,Car,10.32009304979753
10,5.30531,511909.59,5026484.07,35.6867,Car,10.32009304979753
10,5.338677,511909.28,5026484.17,35.8662,Car,10.32009304979753
10,5.372044,511908.96,5026484.27,36.0465,Car,10.32009304979753
10,5.405411,511908.64,5026484.37,36.2273,Car,10.32009304979753
10,5.438777,511908.32,5026484.48,36.4078,Car,10.32009304979753
10,5.472144,511908.0,5026484.58,36.5871,Car,10.32009304979753
10,5.505511,511907.68,5026484.69,36.7652,Car,10.32009304979753
10,5.538878,511907.36,5026484.8,36.9429,Car,10.32009304979753
10,5.572244,511907.03,5026484.9,37.1196,Car,10.32009304979753
10,5.605611,511906.71,5026485.01,37.2943,Car,10.32009304979753
10,5.638978,511906.38,5026485.12,37.4658,Car,10.32009304979753
10,5.672345,511906.05,5026485.24,37.634,Car,10.32009304979753
10,5.705711,511905.72,5026485.35,37.7998,Car,10.32009304979753
10,5.739078,511905.39,5026485.47,37.963,Car,10.32009304979753
10,5.772445,511905.06,5026485.58,38.1226,Car,10.32009304979753
10,5.805811,511904.72,5026485.7,38.2778,Car,10.32009304979753
10,5.839178,511904.38,5026485.82,38.4283,Car,10.32009304979753
10,5.872545,511904.05,5026485.94,38.5748,Car,10.32009304979753
10,5.905912,511903.71,5026486.06,38.7171,Car,10.32009304979753
10,5.939278,511903.36,5026486.19,38.8548,Car,10.32009304979753
10,5.972645,511903.02,5026486.31,38.9871,Car,10.32009304979753
10,6.006012,511902.68,5026486.44,39.1133,Car,10.32009304979753
10,6.039379,511902.33,5026486.56,39.2338,Car,10.32009304979753
